trade_date,active_return,lowvol_return,market_return,state,state_name
2021-06-01,-0.007062630416117,-0.0051626304161171,0.0019,0,Bear
2021-06-02,0.020655410587482,0.010955410587482,-0.0097,0,Bear
2021-06-03,0.0174912843899163,0.0108912843899163,-0.0066,0,Bear
2021-06-04,-0.0118203586402037,-0.0067203586402037,0.0051,0,Bear
2021-06-07,-0.007269829139001,-0.008169829139001,-0.0009,0,Bear
2021-06-08,0.0160484633624637,0.0074484633624637,-0.0086,0,Bear
2021-06-09,-0.0014050746373168,-0.0006050746373168,0.0008,0,Bear
2021-06-10,-0.0152191877271668,-0.0085191877271668,0.0067,0,Bear
2021-06-11,0.0147155045407335,0.0058155045407335,-0.0089,0,Bear
2021-06-15,0.0069629744634971,-0.0041370255365029,-0.0111,0,Bear
2021-06-16,0.0290218821515755,0.0123218821515756,-0.0167,0,Bear
2021-06-17,-0.020995991858391,-0.016795991858391,0.0042,0,Bear
2021-06-18,-0.0143235217585396,-0.0142235217585397,0.0001,0,Bear
2021-06-21,-0.0129856541562874,-0.0153856541562874,-0.0024,0,Bear
2021-06-22,-0.0058494823399997,0.0003505176600003,0.0062,0,Bear
2021-06-23,-0.0093131563236193,-0.0044131563236193,0.0049,0,Bear
2021-06-24,0.0090139655378679,0.0107139655378679,0.0017,0,Bear
2021-06-25,-0.0174725809286754,-0.0011725809286754,0.0163,0,Bear
2021-06-28,-0.0123997832375387,-0.0100997832375387,0.0023,0,Bear
2021-06-29,0.011296876685378,-0.0004031233146219,-0.0116999999999999,0,Bear
2021-06-30,-0.0120205434086277,-0.0055205434086277,0.0065,0,Bear
2021-07-01,0.0146177737427288,0.0157177737427288,0.0011,0,Bear
2021-07-02,0.0275348337729413,-0.0008651662270587,-0.0283999999999999,0,Bear
2021-07-05,-0.0165471295860196,-0.0156471295860196,0.0009,0,Bear
2021-07-06,0.0064370122850812,0.0059370122850812,-0.0005,0,Bear
2021-07-07,-0.0274651293212343,-0.0161651293212343,0.0113,0,Bear
2021-07-08,-0.000163290703532,-0.0103632907035321,-0.0102,0,Bear
2021-07-09,0.005411963319687,0.001711963319687,-0.0037,0,Bear
2021-07-12,-0.0238128425449269,-0.0113128425449269,0.0125,0,Bear
2021-07-13,-0.0008795498011324,0.0009204501988675,0.0018,0,Bear
2021-07-14,0.0176686814074032,0.0061686814074032,-0.0115,0,Bear
2021-07-15,-0.0111345703382398,0.0023654296617602,0.0135,0,Bear
2021-07-16,0.0137373466542005,0.0027373466542005,-0.011,0,Bear
2021-07-19,-0.0041565112372499,-0.0004565112372499,0.0037,0,Bear
2021-07-20,-0.0078410740579481,-0.0087410740579481,-0.0009,0,Bear
2021-07-21,-0.0267611135831236,-0.0198611135831236,0.0069,0,Bear
2021-07-22,-0.0052394681932855,-0.0037394681932855,0.0015,0,Bear
2021-07-23,0.0177329453803224,0.0056329453803224,-0.0121,0,Bear
2021-07-26,0.0322060687825434,6.068782543470694e-06,-0.0322,0,Bear
2021-07-27,0.0493591626421264,0.0140591626421265,-0.0353,1,Bull
2021-07-28,0.0071220249767283,0.0090220249767283,0.0019,1,Bull
2021-07-29,-0.0553523221788135,-0.0364523221788135,0.0189,0,Bear
2021-07-30,-0.0036996902185618,-0.0117996902185619,-0.0081,0,Bear
2021-08-02,-0.031827661504307,-0.006327661504307,0.0255,0,Bear
2021-08-03,0.0161464896438066,0.0162464896438066,0.0001,0,Bear
2021-08-04,-0.0317535885329394,-0.0227535885329394,0.009,0,Bear
2021-08-05,0.0092883549704596,0.0031883549704596,-0.0060999999999999,0,Bear
2021-08-06,0.0044201595134218,-0.0010798404865782,-0.0055,0,Bear
2021-08-09,-0.0076745883416366,0.0053254116583634,0.013,0,Bear
2021-08-10,-0.0170370527361626,-0.0054370527361626,0.0116,0,Bear
2021-08-11,-8.526679607069945e-05,-0.0055852667960707,-0.0055,0,Bear
2021-08-12,0.0089335445955362,0.0005335445955363,-0.0084,0,Bear
2021-08-13,0.0105438256174103,0.0050438256174103,-0.0055,0,Bear
2021-08-16,0.0110256260499028,0.0100256260499028,-0.001,0,Bear
2021-08-17,0.0364614626680965,0.0154614626680965,-0.021,1,Bull
2021-08-18,-0.0079321045701139,0.0037678954298861,0.0116999999999999,1,Bull
2021-08-19,-0.001533036226114,-0.008133036226114,-0.0066,1,Bull
2021-08-20,0.0237185982813651,0.0046185982813651,-0.0191,1,Bull
2021-08-23,-0.0327784087089157,-0.0187784087089157,0.0139999999999999,0,Bear
2021-08-24,-0.0117027240028423,-0.0008027240028423,0.0109,0,Bear
2021-08-25,-0.0017622260470985,0.0002377739529015,0.002,0,Bear
2021-08-26,0.0326082549493024,0.0129082549493024,-0.0197,1,Bull
2021-08-27,-0.0034059028369455,0.0018940971630545,0.0053,1,Bull
2021-08-30,-0.0021219939427492,-0.0050219939427492,-0.0029,1,Bull
2021-08-31,0.0173667870360973,0.0157667870360973,-0.0016,1,Bull
2021-09-01,0.009883336569278,0.0231833365692781,0.0133,1,Bull
2021-09-02,-0.00325002682788,-0.00325002682788,0.0,1,Bull
2021-09-03,0.018292608457249,0.012892608457249,-0.0054,1,Bull
2021-09-06,-0.0219259519595018,-0.0032259519595018,0.0187,1,Bull
2021-09-07,-0.0141171722687302,-0.0021171722687302,0.012,1,Bull
2021-09-08,0.0156987287800264,0.0115987287800264,-0.0040999999999999,1,Bull
2021-09-09,0.0112062483860351,0.0108062483860352,-0.0004,1,Bull
2021-09-10,-0.0169291038888593,-0.0081291038888593,0.0088,1,Bull
2021-09-13,0.0155956498678966,0.0111956498678966,-0.0044,1,Bull
2021-09-14,-0.004448775969646,-0.019348775969646,-0.0149,1,Bull
2021-09-15,0.0125492336243395,0.0024492336243395,-0.0101,1,Bull
2021-09-16,0.0277613042012625,0.0155613042012625,-0.0121999999999999,1,Bull
2021-09-17,-0.0115779754581012,-0.0015779754581012,0.01,1,Bull
2021-09-22,0.0149703945330094,0.0079703945330095,-0.0069999999999999,1,Bull
2021-09-23,0.004172650414009,0.0106726504140091,0.0065,1,Bull
2021-09-24,-0.0047204093590298,-0.0055204093590298,-0.0008,1,Bull
2021-09-27,-0.0054893458732384,0.0003106541267616,0.0058,1,Bull
2021-09-28,0.0086988546610923,0.0099988546610923,0.0013,1,Bull
2021-09-29,0.0259870318100902,0.0157870318100902,-0.0102,1,Bull
2021-09-30,-0.0252420748794009,-0.0185420748794009,0.0067,1,Bull
2021-10-08,0.0048764218895493,0.0179764218895493,0.0131,1,Bull
2021-10-11,0.0041329281289889,0.0054329281289889,0.0013,1,Bull
2021-10-12,0.0186398995921008,0.0080398995921009,-0.0106,1,Bull
2021-10-13,-0.028016789920517,-0.016516789920517,0.0115,1,Bull
2021-10-14,-0.0025584081834628,-0.0079584081834629,-0.0054,1,Bull
2021-10-15,-0.0095069476907686,-0.0057069476907686,0.0038,1,Bull
2021-10-18,0.0062285343280449,-0.005371465671955,-0.0116,1,Bull
2021-10-19,-0.0157771128967914,-0.0059771128967915,0.0098,0,Bear
2021-10-20,-0.0072857071328775,-0.0097857071328775,-0.0025,0,Bear
2021-10-21,-0.0026400018260187,0.0009599981739812,0.0036,0,Bear
2021-10-22,-0.0031505333219875,0.0032494666780125,0.0064,0,Bear
2021-10-25,-0.0243150080769325,-0.0203150080769325,0.004,0,Bear
2021-10-26,0.0002346817748536,-0.0030653182251463,-0.0033,0,Bear
2021-10-27,0.0088586703729983,-0.0042413296270017,-0.0131,0,Bear
2021-10-28,0.0196541839523783,0.0127541839523783,-0.0069,0,Bear
2021-10-29,-0.0121812740169503,-0.0029812740169503,0.0092,0,Bear
2021-11-01,-0.0024289455792872,-0.0061289455792873,-0.0037,0,Bear
2021-11-02,0.0102206133288755,-0.0001793866711245,-0.0104,0,Bear
2021-11-03,0.0049344812314229,0.0010344812314229,-0.0039,0,Bear
2021-11-04,-0.0204077738505394,-0.0105077738505394,0.0098999999999999,0,Bear
2021-11-05,0.0147597268390604,0.0093597268390604,-0.0054,0,Bear
2021-11-08,-0.006394279285023,-0.005194279285023,0.0012,0,Bear
