gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
6.0,3.6,3.49,2,1.8500487206267429,0.04385748172979409,0.023706122568997234,0.00179645060773306,-0.01654204915318891,3.0,0.04385748172979409,0.023706122568997234,0.1148133608021346,54.25,66.0,42.5,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,2.8,3.49,2,1.8383708366818172,0.03885247699122574,0.02113418915051592,0.0016335940858992226,-0.014690074981828394,3.0,0.03885247699122574,0.02113418915051592,0.1142861953788234,54.25,68.5,40.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,1.6,3.49,2,1.8375670654183298,0.02998177917785383,0.016316019013449368,0.00043781560690373444,-0.010871346631911472,1.0,0.02998177917785383,0.016316019013449368,0.11457429435829539,108.5,143.0,74.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,3.6,3.49,2,1.8332846742319797,0.043112551722509496,0.023516561463958505,0.00179645060773306,-0.016542049153188243,3.0,0.043112551722509496,0.023516561463958505,0.11381422233387031,54.25,70.0,38.5,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,2.8,3.49,2,1.8097493327123597,0.038226357810436706,0.021122459955901736,0.0016335940858992226,-0.014690074981828505,3.0,0.038226357810436706,0.021122459955901736,0.11255064984419542,54.25,69.5,39.0,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,2.0,3.49,2,1.778382096335203,0.032681730006662635,0.018377226173166856,0.00048421055231926167,-0.012539223890025819,1.0,0.032681730006662635,0.018377226173166856,0.1108206514066563,108.5,143.0,74.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.0,3.49,2,1.778382096335203,0.032681730006662635,0.018377226173166856,0.00048421055231926167,-0.012539223890025819,1.0,0.032681730006662635,0.018377226173166856,0.1108206514066563,108.5,143.0,74.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.4,3.49,2,1.7553707175421698,0.03539551440164046,0.02016412490416865,0.0005272360468230016,-0.013874374515895016,1.0,0.03539551440164046,0.02016412490416865,0.10930727099244457,108.5,143.0,74.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,1.2,3.49,2,1.7307248820814447,0.026698074180933062,0.015425949240889634,0.00041867277788998797,-0.010077172067248674,1.0,0.026698074180933062,0.015425949240889634,0.10808626393595683,108.5,144.0,73.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,1.2,3.49,2,1.7307248820814447,0.026698074180933062,0.015425949240889634,0.00041867277788998797,-0.010077172067248674,1.0,0.026698074180933062,0.015425949240889634,0.10808626393595683,108.5,144.0,73.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,2.8,3.49,2,1.7174869433385125,0.036209879552923985,0.021083059579211662,0.0005445313619664075,-0.014690074981828616,1.0,0.036209879552923985,0.021083059579211662,0.10694882073254085,108.5,143.0,74.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,2.8,3.49,2,1.7174869433385125,0.036209879552923985,0.021083059579211662,0.0005445313619664075,-0.014690074981828616,1.0,0.036209879552923985,0.021083059579211662,0.10694882073254085,108.5,143.0,74.0,1.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
