trade_date,size_return,long_return,short_return,long_count,short_count,holdings_count,signal_date
2020-09-21,0.0017369199147650805,-0.0022557490108116255,-0.003992668925576706,798,798,1596,2020-09-18
2020-09-22,-0.0017679441947948491,-0.014093045309858125,-0.012325101115063276,800,800,1600,2020-09-21
2020-09-23,-8.415073318754178e-05,0.006866003318633172,0.006950154051820714,800,800,1600,2020-09-22
2020-09-24,-0.006071232468644543,-0.02789443968556465,-0.021823207216920108,801,801,1602,2020-09-23
2020-09-25,-0.0033369448479421936,-0.005654901283411408,-0.002317956435469215,802,802,1604,2020-09-24
2020-09-28,-0.009722148540414265,-0.016892431687876186,-0.007170283147461921,802,802,1604,2020-09-25
2020-09-29,-0.0023713768913158585,0.005607226371739671,0.00797860326305553,804,804,1608,2020-09-28
2020-09-30,-0.00041546050880045607,-0.002595342624387125,-0.002179882115586669,804,804,1608,2020-09-29
2020-10-09,0.0027793696827556023,0.028017625302317446,0.025238255619561844,805,805,1610,2020-09-30
2020-10-12,-0.002166641627975984,0.026836086540741672,0.029002728168717656,805,805,1610,2020-10-09
2020-10-13,-0.0010267071087859264,0.0025899385703195502,0.0036166456791054766,805,805,1610,2020-10-12
2020-10-14,0.0007943986567724767,-0.005234755334991494,-0.006029153991763971,805,805,1610,2020-10-13
2020-10-15,0.005399606358653691,-0.0012405585895299983,-0.006640164948183689,805,805,1610,2020-10-14
2020-10-16,0.009030566778936381,0.00565284013085185,-0.0033777266480845307,806,806,1612,2020-10-15
2020-10-19,0.008180466112679774,-0.002100930138810716,-0.01028139625149049,806,806,1612,2020-10-16
2020-10-20,0.0025657776599895734,0.010644558627806482,0.008078780967816909,807,807,1614,2020-10-19
2020-10-21,-0.00036338867463363636,-0.00936279765741805,-0.008999408982784413,807,807,1614,2020-10-20
2020-10-22,0.006420845971477497,-0.00031686104112634315,-0.006737707012603841,807,807,1614,2020-10-21
2020-10-23,0.00921274276245196,-0.008061520286888625,-0.017274263049340585,808,808,1616,2020-10-22
2020-10-26,0.002802302765784903,0.0029498492174730166,0.00014754645168811367,808,808,1616,2020-10-23
2020-10-27,-0.006521160859984165,-0.00106593280154722,0.005455228058436946,808,808,1616,2020-10-26
2020-10-28,-0.0030222287240084626,0.0010547388604922106,0.0040769675845006735,809,809,1618,2020-10-27
2020-10-29,-0.0035139550979913876,-0.0007291738519549333,0.0027847812460364543,809,809,1618,2020-10-28
2020-10-30,-0.010484387461816541,-0.028748860628143125,-0.018264473166326584,810,810,1620,2020-10-29
2020-11-02,-0.00510070385770343,-9.457313402287619e-05,0.005006130723680554,810,810,1620,2020-10-30
2020-11-03,0.0032279686215643394,0.019625775582319333,0.016397806960754994,810,810,1620,2020-11-02
2020-11-04,-0.003528074949640939,-0.0022918147242667925,0.0012362602253741467,810,810,1620,2020-11-03
2020-11-05,-0.0010462301115243232,0.015560626268667103,0.016606856380191427,810,810,1620,2020-11-04
2020-11-06,-0.003069669223656233,-0.00844696173476817,-0.005377292511111936,811,811,1622,2020-11-05
2020-11-09,-0.006865686492823948,0.016851784401865143,0.02371747089468909,811,811,1622,2020-11-06
2020-11-10,0.0033813307545498316,-0.005554619484697204,-0.008935950239247035,811,811,1622,2020-11-09
2020-11-11,0.009215444984839437,-0.004869123390380068,-0.014084568375219505,811,811,1622,2020-11-10
2020-11-12,0.0036131420513731607,0.006150539695896978,0.0025373976445238174,812,812,1624,2020-11-11
2020-11-13,0.003238315847408151,0.0009014997926488612,-0.00233681605475929,812,812,1624,2020-11-12
2020-11-16,-0.0034552391226842913,0.006869050477485481,0.010324289600169772,812,812,1624,2020-11-13
2020-11-17,0.0016302490697024542,-0.005378682845908491,-0.007008931915610945,812,812,1624,2020-11-16
2020-11-18,0.009497524050694954,0.00823300309070633,-0.0012645209599886238,812,812,1624,2020-11-17
2020-11-19,-0.002355169762278614,0.0021332662776506923,0.0044884360399293066,813,813,1626,2020-11-18
2020-11-20,-0.0037585323447849404,0.004018986516541179,0.0077775188613261196,813,813,1626,2020-11-19
2020-11-23,-0.008634348902604517,-0.0009277963389610892,0.007706552563643428,813,813,1626,2020-11-20
2020-11-24,0.0016882945450092685,0.0005733504962606329,-0.0011149440487486356,813,813,1626,2020-11-23
2020-11-25,0.008260249714211543,-0.009143165492164066,-0.01740341520637561,814,814,1628,2020-11-24
2020-11-26,-0.0018128789970878905,-0.00325559597845243,-0.0014427169813645397,814,814,1628,2020-11-25
2020-11-27,-0.008492103478697756,-0.002692923908054355,0.005799179570643401,814,814,1628,2020-11-26
2020-11-30,0.0010969207813230372,-0.0010543324274247918,-0.002151253208747829,814,814,1628,2020-11-27
2020-12-01,-0.006751354219061565,0.010560395156192334,0.0173117493752539,814,814,1628,2020-11-30
2020-12-02,-0.001600856963293761,0.0005239765941117002,0.002124833557405461,814,814,1628,2020-12-01
2020-12-03,-5.4736879486705305e-05,-0.0003158486401701033,-0.000261111760683398,815,815,1630,2020-12-02
2020-12-04,0.0003636786460049974,0.002979656515915873,0.0026159778699108758,816,816,1632,2020-12-03
2020-12-07,0.00031303397377423995,-0.0048126708986036704,-0.00512570487237791,816,816,1632,2020-12-04
