gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
6.0,2.0,3.49,2,-0.026408846750974494,-9.383988723554726e-05,0.0035533504404952686,0.000870700111981884,-0.003987610575110323,4.0,-9.383988723554726e-05,0.0035533504404952686,-0.001551768241254773,44.2,66.5,29.666666666666668,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,1.2,3.49,2,-0.029479377154349718,-0.00010164761175679438,0.003448092245117063,0.0006243864402666664,-0.0036330962134423217,4.0,-0.00010164761175679438,0.003448092245117063,-0.0017485261922103137,44.2,47.666666666666664,39.5,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,1.6,3.49,2,-0.03984345761062461,-0.00011610606501111231,0.0029140559573361826,0.0006564012690212582,-0.0034704118767787673,4.0,-0.00011610606501111231,0.0029140559573361826,-0.0024182691658095343,44.2,62.5,32.333333333333336,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.8,3.49,2,-0.05505821152112381,-0.0002923201924746044,0.005309293280666262,0.0013465269936110008,-0.00502612856833784,4.0,-0.0002923201924746044,0.005309293280666262,-0.003301635990515544,44.2,66.0,30.0,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,1.2,3.49,2,-0.07797164670286642,-0.0003137067697177587,0.004023344163978341,0.0009785739786829705,-0.004285121265756864,4.0,-0.0003137067697177587,0.004023344163978341,-0.004785801526222055,44.2,55.5,37.0,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,1.2,3.49,2,-0.10732414047978024,-0.0004318065361255119,0.004023386855885082,0.0009785739786829705,-0.004368927995454297,4.0,-0.0004318065361255119,0.004023386855885082,-0.006635520320078112,44.2,56.0,36.666666666666664,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,1.2,3.49,2,-0.10763657532815629,-0.00048155328157573063,0.004473881485987438,0.0011303895036231676,-0.004089829984481819,4.0,-0.00048155328157573063,0.004473881485987438,-0.006641191580064891,44.2,68.0,28.666666666666668,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,2.4,3.49,2,-0.15489282308289545,-0.0007039319592377913,0.004544638965364208,0.0016017258483954498,-0.004896804985124015,6.0,-0.0007039319592377913,0.004544638965364208,-0.009617619364336201,31.571428571428573,41.666666666666664,24.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
4.0,1.2,3.49,2,-0.16665615591546928,-0.0005180469564691759,0.0031084777734339303,0.0006749991395152072,-0.0032806810618074556,4.0,-0.0005180469564691759,0.0031084777734339303,-0.010403160767554511,44.2,61.0,33.333333333333336,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,3.2,3.49,2,-0.29493258203252376,-0.0016158940064445737,0.005478858915175335,0.001954188423965911,-0.007075047614728436,6.0,-0.0016158940064445737,0.005478858915175335,-0.01842141432679687,31.571428571428573,40.333333333333336,25.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,2.4,3.49,2,-0.2977884700667872,-0.0012755002564566187,0.004283242585485438,0.0010380887356625835,-0.004585364543253978,4.0,-0.0012755002564566187,0.004283242585485438,-0.01863593828681512,44.2,65.0,30.666666666666668,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,2.0,3.49,2,-0.29812231968183517,-0.0010695769272968114,0.0035877116763290153,0.000870700111981884,-0.004424708280473588,4.0,-0.0010695769272968114,0.0035877116763290153,-0.018676958515109147,44.2,65.5,30.333333333333332,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,2.8,3.49,2,-0.3085555429623889,-0.0015354904981165207,0.004976382804128357,0.0017742323786775218,-0.0063996885748531795,6.0,-0.0015354904981165207,0.004976382804128357,-0.019295316956537845,31.571428571428573,40.333333333333336,25.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,1.6,3.49,2,-0.3275214451775089,-0.0011258631527822915,0.003437524990682977,0.0006223562616423856,-0.004216190407799414,3.0,-0.0011258631527822915,0.003437524990682977,-0.02053522690308823,55.25,69.5,41.5,3.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,3.6,3.49,2,-0.41863380345595286,-0.0023679492291069915,0.005656373684014121,0.001986128404531391,-0.0065827653175586365,6.0,-0.0023679492291069915,0.005656373684014121,-0.026224455228478438,31.571428571428573,42.666666666666664,23.5,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,3.2,3.49,2,-0.42610183910263294,-0.00236861209171213,0.005558793401831844,0.0019668023078057,-0.006576619390971095,6.0,-0.00236861209171213,0.005558793401831844,-0.026698535651835373,31.571428571428573,43.333333333333336,23.0,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,1.6,3.49,2,-0.4950824274264576,-0.00161235518089331,0.0032567408810582734,0.0007870505872701924,-0.003954072723707069,4.0,-0.00161235518089331,0.0032567408810582734,-0.03110975893499844,44.2,63.0,32.0,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,1.6,3.49,2,-0.4950824274264576,-0.00161235518089331,0.0032567408810582734,0.0007870505872701924,-0.003954072723707069,4.0,-0.00161235518089331,0.0032567408810582734,-0.03110975893499844,44.2,63.0,32.0,4.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
