trade_date,strategy_return,lambda,nav,benchmark_return,benchmark_nav
2023-07-11,0.0032953103894424,0.3,1.328485700440224,0.006500000000000001,0.7305106976460939
2023-07-12,-0.0078724669686245,0.3,1.3180272406452185,-0.0067,0.7256162759718651
2023-07-13,0.0079364464891011,0.3,1.3284876933117766,0.0143,0.7359925887182627
2023-07-14,-4.971322937552536e-05,0.3,1.3284216498983563,0.0002,0.7361397872360063
2023-07-17,1.778006503982965e-05,0.3,1.3284452693216922,-0.008199999999999999,0.730103440980671
2023-07-18,0.0006472803076675,0.3,1.3293051457843383,-0.0032,0.7277671099695329
2023-07-19,0.0043994836643261,0.3,1.3351534020581213,-0.0011,0.7269665661485664
2023-07-20,-0.0016586185798183,0.3,1.33293889181856,-0.0070999999999999995,0.7218051035289116
2023-07-21,0.0051335067761122,0.3,1.3397815426518542,-0.0005,0.7214442009771471
2023-07-24,0.0024853755512157,0.3,1.343111402941931,-0.0044,0.7182698464928478
2023-07-25,0.0178560881186533,0.3,1.3670941185060306,0.028900000000000002,0.739027845056491
2023-07-26,0.0089493673072802,0.3,1.3793287459161636,-0.0021,0.7374758865818724
2023-07-27,0.0027672317088598,0.3,1.3831456681588048,-0.0012,0.7365909155179742
2023-07-28,0.0186999009852737,0.3,1.409010355201585,0.0232,0.7536798247579912
2023-07-31,0.0159108184663927,0.3,1.4314288631804646,0.0055000000000000005,0.7578250637941603
2023-08-01,0.0010696026936758,0.3,1.4329599233483277,-0.0040999999999999995,0.7547179810326042
2023-08-02,-0.0028444532310641,0.3,1.428883935864374,-0.006999999999999999,0.749434955165376
2023-08-03,0.0051377350769521,0.3,1.436225162982558,0.0088,0.7560299827708312
2023-08-04,0.0004684168059285,0.3,1.4368979149859966,0.0039000000000000003,0.7589784997036375
2023-08-07,-0.0070647595135077,0.3,1.4267465767711598,-0.0076,0.7532102631058898
2023-08-08,-0.0029002841478694,0.3,1.4226086062915233,-0.0026,0.7512519164218144
2023-08-09,-0.0026040893595661,0.3,1.4189040063570524,-0.0031,0.7489230354809068
2023-08-10,0.0011756988457498,0.3,1.420572210159556,0.0021,0.7504957738554167
2023-08-11,-0.0106814487048496,0.3,1.4053984409652018,-0.023,0.733234371056742
2023-08-14,-0.0036542926346992,0.3,1.4002627037935649,-0.0073,0.7278817601480279
2023-08-15,0.0025276347779183,0.3,1.4038020565018956,-0.0024,0.7261348439236727
2023-08-16,0.0003584553998272,0.3,1.4043052569293373,-0.0073,0.7208340595630299
2023-08-17,-0.0014989373403067,0.3,1.4022002913425369,0.0033,0.723212811959588
2023-08-18,-0.0023210141087521,0.3,1.3989457646830343,-0.0123,0.714317294372485
2023-08-21,-0.0075846417884644,0.3,1.388335262176424,-0.0144,0.7040311253335213
2023-08-22,-0.0006386233545139,0.3,1.387448638854103,0.0077,0.7094521649985894
2023-08-23,-0.0069774669365384,0.3,1.3777677618503532,-0.016399999999999998,0.6978171494926125
2023-08-24,-0.0068004283237453,0.3,1.3683983509391229,0.0072,0.7028414329689594
2023-08-25,0.0014928928686559,0.3,1.3704412230787204,-0.0038,0.7001706355236773
2023-08-28,0.012891641777126,0.3,1.388108460403258,0.011699999999999999,0.7083626319593044
2023-08-29,0.0004221755803996,0.3,1.3886944858981862,0.01,0.7154462582788974
2023-08-30,-0.0105339261165422,0.3,1.3740660807852851,-0.0004,0.7151600797755859
2023-08-31,-0.0070061600185836,0.3,1.3644391539471954,-0.0060999999999999995,0.7107976032889549
2023-09-01,-0.0014971829648708,0.3,1.3623963388893028,0.006999999999999999,0.7157731865119775
2023-09-04,0.0192602746856092,0.3,1.388636466606979,0.0152,0.7266529389469597
2023-09-05,-0.0214774594314727,0.3,1.358812083230364,-0.0074,0.7212757071987522
2023-09-06,0.0020783547933511,0.3,1.3616361768368097,-0.0022,0.719688900642915
2023-09-07,-0.012573545676607,0.3,1.3445155821724313,-0.013999999999999999,0.7096132560339142
2023-09-08,-0.0058906096379494,0.3,1.3365955657257131,-0.0049,0.706136151079348
2023-09-11,0.0051879777372851,0.3,1.343529793764452,0.0074,0.7113615585973353
2023-09-12,-0.0025301381843365,0.3,1.3401304777314549,-0.0018,0.7100811077918601
2023-09-13,-0.0027976294332749,0.3,1.3363812892625244,-0.0064,0.7055365887019922
2023-09-14,-0.0039211599257096,0.3,1.3311411245056,-0.0008,0.7049721594310306
2023-09-15,0.0024523208395133,0.3,1.3344055096255585,-0.0066,0.7003193431787859
2023-09-18,-0.0013584958366997,0.3,1.3325927252962626,0.0051,0.7038909718289977
2023-09-19,-0.0019585681968605,0.3,1.3299827515651297,-0.0019,0.7025535789825227
2023-09-20,-0.0007068435355324,0.3,1.3290426618548163,-0.004,0.6997433646665926
2023-09-21,-0.0050364323621486,0.3,1.3223490283819743,-0.009000000000000001,0.6934456743845933
2023-09-22,0.0119188194938659,0.3,1.3381098677591483,0.0181,0.7059970410909544
2023-09-25,-0.0084311201695777,0.3,1.3268281026639732,-0.006500000000000001,0.7014080603238633
2023-09-26,-0.0006476012672024,0.3,1.3259688471033282,-0.0058,0.6973398935739848
2023-09-27,-0.0034148125441019,0.3,1.3214409120511514,0.0021,0.6988043073504903
2023-09-28,0.0023779342370158,0.3,1.324583211638111,-0.003,0.6967078944284388
2023-10-09,-0.0160874806858377,0.3,1.3032740048040985,-0.0013,0.6958021741656819
2023-10-10,-0.0077778788966743,0.3,1.2931372974255482,-0.0075,0.6905836578594393
2023-10-11,-0.0044189170818235,0.3,1.2874230309328114,0.0028000000000000004,0.6925172921014456
2023-10-12,0.0070741645618161,0.3,1.2965304733143024,0.0095,0.6990962063764095
2023-10-13,-0.0088786137031007,0.3,1.2850190800874464,-0.0105,0.6917556962094572
2023-10-16,-0.0013244764235004,0.3,1.2833171026121224,-0.01,0.6848381392473626
2023-10-17,-0.0013489242400808,0.3,1.2815860050646986,0.0034999999999999996,0.6872350727347284
2023-10-18,-0.0172219897575721,0.3,1.2595145440120266,-0.0079,0.681805915660124
2023-10-19,-0.0076126827024071,0.3,1.249926259429396,-0.0213,0.6672834496565634
2023-10-20,0.0014997188230745,0.3,1.2518007973681176,-0.006500000000000001,0.6629461072337958
2023-10-23,-0.0209138708015255,0.3,1.2256207972227142,-0.0104,0.6560514677185643
2023-10-24,0.0177981909195841,0.3,1.247434630166697,0.0037,0.658478858149123
2023-10-25,0.010761453440095,0.3,1.260858839858798,0.005,0.6617712524398686
2023-10-26,-0.0022682239986082,0.3,1.257998929579373,0.0028000000000000004,0.6636242119467002
2023-10-27,0.0042061967827518,0.3,1.263290320629675,0.0137,0.67271586365037
2023-10-30,0.0039664623807269,0.3,1.2683011141623892,0.006,0.6767521588322721
2023-10-31,0.0033134841136028,0.3,1.2725036097554312,-0.0031,0.6746542271398921
2023-11-01,-0.0019213075358306,0.3,1.2700587389806364,-0.0004,0.6743843654490361
2023-11-02,-0.0058776901821989,0.3,1.262593727199714,-0.004699999999999999,0.6712147589314257
2023-11-03,0.0011106649862153,0.3,1.2639960458443298,0.0084,0.6768529629064496
2023-11-06,0.0181285408356646,0.3,1.2869104497775374,0.013500000000000002,0.6859904779056867
2023-11-07,0.0063708499765857,0.3,1.2951091631863707,-0.0034999999999999996,0.6835895112330168
2023-11-08,0.0077446545339348,0.3,1.3051393362389825,-0.0024,0.6819488964060576
2023-11-09,0.0002347824642279,0.3,1.3054457600685054,0.0005,0.6822898708542606
2023-11-10,-0.0119398287362649,0.3,1.2898589612688045,-0.0073,0.6773091547970246
2023-11-13,0.0075465898343873,0.3,1.2995929977937088,-0.002,0.6759545364874305
2023-11-14,0.0074474850118129,0.3,1.3092716971662346,0.0007000000000000001,0.6764277046629716
2023-11-15,0.0017969878282226,0.3,1.3116244424698789,0.006999999999999999,0.6811626985956124
2023-11-16,-0.0045069605670563,0.3,1.30571300282888,-0.0097,0.6745554204192349
2023-11-17,0.0033285623839891,0.3,1.3100591500143817,-0.0012,0.6737459539147318
2023-11-20,0.0130783799436784,0.3,1.3271926013269622,0.0023,0.6752955696087357
2023-11-21,0.018293063360649,0.3,1.351471019674821,0.0013,0.6761734538492271
2023-11-22,0.0201145664287727,0.3,1.3786552732766313,-0.0102,0.669276484619965
2023-11-23,0.0148823749415076,0.3,1.3991729379686209,0.0048,0.6724890117461408
2023-11-24,0.0146290425541861,0.3,1.4196414984188297,-0.0066,0.6680505842686163
2023-11-27,0.029713702045951,0.3,1.461824302914914,-0.0074,0.6631070099450286
2023-11-28,-0.01940497765808,0.3,1.4334576349768118,0.0019,0.6643669132639242
2023-11-29,-0.0312234207518458,0.3,1.388700184109985,-0.0086,0.6586533578098543
2023-11-30,-0.0064090113883046,0.3,1.3797999888150834,0.0023,0.660168260532817
2023-12-01,-0.0005171107931617,0.3,1.3790864793484627,-0.0038,0.6576596211427922
2023-12-04,0.0092226385862885,0.3,1.3918052955267308,-0.006500000000000001,0.653384833605364
2023-12-05,-0.0018568355709854,0.3,1.3892209419461108,-0.019,0.6409705217668621
2023-12-06,0.012924555781054,0.3,1.4071760055025018,0.0016,0.6419960746016891
2023-12-07,-0.0050762114110782,0.3,1.4000328826059745,-0.0024,0.6404552840226451
2023-12-08,-0.0208533436453507,0.3,1.370837515790201,0.0024,0.6419923767042994
2023-12-11,0.008008325508845,0.3,1.3818156288363854,0.0059,0.6457801317268548
2023-12-12,0.0133049540150693,0.3,1.4002006222353578,0.0021,0.6471362700034812
2023-12-13,0.0041158544649635,0.3,1.40596364421823,-0.0167,0.636329094294423
2023-12-14,0.0062746838538669,0.3,1.41478562159573,-0.0052,0.633020183004092
2023-12-15,0.0045558217014762,0.3,1.4212311326335323,-0.0031,0.6310578204367794
2023-12-18,-0.0092206803794606,0.3,1.4081264146141796,-0.0036,0.628786012283207
2023-12-19,-0.0004229965608264,0.3,1.407530781983589,0.0014000000000000002,0.6296663127004035
2023-12-20,0.003044629416314,0.3,1.4118161916067835,-0.011000000000000001,0.6227399832606991
2023-12-21,0.0015293815440369,0.3,1.4139753972337996,0.0101,0.6290296570916322
2023-12-22,-0.0181167570991956,0.3,1.388358748417876,0.0019,0.6302248134401063
2023-12-25,-0.0048965109510912,0.3,1.381560634602205,0.0031,0.6321785103617706
2023-12-26,-0.0002668729335818,0.3,1.3811919334627272,-0.0068000000000000005,0.6278796964913106
2023-12-27,0.0055813123166175,0.3,1.3889007970125755,0.0034999999999999996,0.6300772754290302
2023-12-28,0.0103626905958702,0.3,1.4032935462403744,0.023399999999999997,0.6448210836740697
2023-12-29,0.0122353322251964,0.3,1.4204633089880994,0.0049,0.6479807069840725
2024-01-02,0.0255923443064414,0.3,1.45681629506639,-0.013000000000000001,0.6395569577932796
2024-01-03,0.0083480462996434,0.3,1.4689778649476792,-0.0024,0.6380220210945757
2024-01-04,-0.0030979984233258,0.3,1.4644269738381708,-0.0092,0.6321522185005056
2024-01-05,-0.0244180383362067,0.3,1.428668539850415,-0.0054,0.6287385965206029
2024-01-08,-0.0233219333077918,0.3,1.3953492274450834,-0.0129,0.6206278686254871
2024-01-09,-0.0058949694918001,0.3,1.3871236863188878,0.002,0.6218691243627381
2024-01-10,0.0037903309121447,0.3,1.3923813441061106,-0.004699999999999999,0.6189463394782332
2024-01-11,0.0078262789193528,0.3,1.4032785088671884,0.005699999999999999,0.6224743336132591
2024-01-12,-0.036673481199104,0.3,1.3518154008551408,-0.0034999999999999996,0.6202956734456128
2024-01-15,-0.010237147201538,0.3,1.3379766676072806,-0.001,0.6196753777721672
2024-01-16,0.0185184000432918,0.3,1.3627538547866227,0.0060999999999999995,0.6234553975765774
2024-01-17,-0.0190657077532315,0.3,1.336771988051671,-0.0218,0.609864069909408
2024-01-18,0.0019412177769986,0.3,1.3393669535986708,0.0141,0.6184631532951307
2024-01-19,0.0093126654317921,0.3,1.3518400299279338,-0.0015,0.617535458565188
2024-01-22,-0.0509681872819793,0.3,1.2829391941072903,-0.015600000000000001,0.6079019054115711
2024-01-23,0.0078490627321283,0.3,1.2930090643233447,0.004,0.6103335130332174
2024-01-24,0.023704145291135,0.3,1.32365873904682,0.013999999999999999,0.6188781822156825
2024-01-25,0.0222984549659981,0.3,1.353174283829805,0.020099999999999996,0.6313176336782177
2024-01-26,0.013090392934141,0.3,1.3708878669135125,-0.0027,0.6296130760672864
2024-01-29,-0.0423929657091037,0.3,1.3127718645804214,-0.009000000000000001,0.6239465583826809
2024-01-30,-0.0205311578691551,0.3,1.2858191381825357,-0.0178,0.6128403096434691
2024-01-31,-0.0161726768057195,0.3,1.2650240008301008,-0.0091,0.6072634628257135
2024-02-01,-0.0192118082639605,0.3,1.2407206022768449,0.0007000000000000001,0.6076885472496915
2024-02-02,-0.0273349225450756,0.3,1.2068056007135275,-0.0118,0.6005178223921451
2024-02-05,-0.0549428960800428,0.3,1.1405002060047105,0.006500000000000001,0.6044211882376941
2024-02-06,0.0293864198830529,0.3,1.1740154239350733,0.0348,0.6254550455883658
2024-02-07,0.0059117792050096,0.3,1.1809559439046533,0.0096,0.6314594140260142
2024-02-08,0.0382742594019258,0.3,1.2261561580439062,0.0064,0.6355007542757807
2024-02-19,0.0077114056047662,0.3,1.2356115455133647,0.0116,0.6428725630253798
2024-02-20,0.0036985239762075,0.3,1.2401814844397248,0.0021,0.6442225954077331
2024-02-21,0.0144606284477799,0.3,1.2581152880940238,0.013500000000000002,0.6529196004457375
2024-02-22,0.0049272213703175,0.3,1.264314300627844,0.0086,0.6585347090095708
2024-02-23,0.0111002152268846,0.3,1.278348461479241,0.0009,0.6591273902476793
2024-02-26,-0.005500608124518,0.3,1.2713167675460633,-0.0104,0.6522724653891034
2024-02-27,0.0158118860806828,0.3,1.2914186834469636,0.012,0.6600997349737727
