trade_date,active_return,growth_return,market_return,active_return_20d,state,state_name
2022-09-29,0.013541458422675,0.0131414584226751,-0.0004,0.06883486579519027,1,Bull
2022-09-30,0.0008668611703122,-0.0049331388296877,-0.0058,0.060470546625496446,1,Bull
2022-10-10,0.0196472999887774,-0.0024527000112225,-0.0220999999999999,0.08198746061096918,1,Bull
2022-10-11,0.0028067430402032,0.0046067430402032,0.0018,0.08376369908218839,1,Bull
2022-10-12,-0.0160478543618444,-0.0008478543618444,0.0152,0.0686591846289768,1,Bull
2022-10-13,0.0064465631411127,-0.0019534368588872,-0.0084,0.06990075932982331,1,Bull
2022-10-14,-0.020189050398412,0.003710949601588,0.0239,0.04519476723212157,1,Bull
2022-10-17,-0.0082110793472888,-0.0072110793472888,0.001,0.05244333746353158,1,Bull
2022-10-18,0.0070630322805338,0.0049630322805338,-0.0021,0.06973830247978974,1,Bull
2022-10-19,0.0167201855861204,0.0006201855861204,-0.0161,0.07936872699193831,1,Bull
2022-10-20,0.001330699835691,-0.0043693001643089,-0.0056999999999999,0.0803013711217746,1,Bull
2022-10-21,0.0051450939215998,0.0019450939215998,-0.0032,0.056397030921993,1,Bull
2022-10-24,0.0341843200834113,0.0048843200834113,-0.0293,0.08747929843215796,1,Bull
2022-10-25,0.0019128915015948,0.0003128915015948,-0.0016,0.09041630136888879,1,Bull
2022-10-26,-0.0085069252878643,-0.0004069252878643,0.0081,0.07848752742094067,1,Bull
2022-10-27,-0.0002191771805178,-0.0072191771805178,-0.0069999999999999,0.06323512853938551,1,Bull
2022-10-28,0.0253115371301319,0.0006115371301319,-0.0247,0.08604620460752188,1,Bull
2022-10-31,-0.0003927893526825,-0.0095927893526825,-0.0092,0.07239360357866054,1,Bull
2022-11-01,-0.0365637957043512,-0.0007637957043513,0.0358,0.052244089810335126,1,Bull
2022-11-02,-0.0110922368062255,0.0009077631937745,0.012,0.0317204732281795,1,Bull
2022-11-03,0.0123328168681139,0.0042328168681139,-0.0081,0.030490153317461743,1,Bull
2022-11-04,-0.0251647935810173,0.0075352064189827,0.0327,0.003688023147582875,1,Bull
2022-11-07,-0.0067280878083938,-0.0045280878083938,0.0022,-0.022274543357702514,0,Bear
2022-11-08,0.0036659965179519,-0.0032340034820481,-0.0069,-0.021436780743186667,0,Bear
2022-11-09,0.0076044332054069,-0.0016955667945931,-0.0093,0.0020859675603763783,1,Bull
2022-11-10,-0.0040952600141839,-0.011795260014184,-0.0077,-0.00841018140898031,0,Bear
2022-11-11,-0.0283189493940544,-0.0004189493940544,0.0279,-0.01663781457998237,0,Bear
2022-11-14,-0.0109773919166672,-0.0094773919166672,0.0015,-0.019380623172750022,0,Bear
2022-11-15,-0.0151384220774083,0.0038615779225917,0.019,-0.04099910745753399,0,Bear
2022-11-16,0.0036463576184648,-0.0045536423815351,-0.0081999999999999,-0.05333073307850167,0,Bear
2022-11-17,-0.0031310309724806,-0.0072310309724806,-0.0040999999999999,-0.0575489033933293,0,Bear
2022-11-18,0.0047387871385611,0.0002387871385611,-0.0045,-0.057929867570092886,0,Bear
2022-11-21,0.0155418566746213,0.0070418566746213,-0.0085,-0.07491185775432041,0,Bear
2022-11-22,-0.0026450209952424,-0.0025450209952425,0.0001,-0.07912027830662838,0,Bear
2022-11-23,0.0051512078141691,0.0061512078141691,0.001,-0.06643486664754727,0,Bear
2022-11-24,0.0069989577490279,0.0025989577490279,-0.0044,-0.05969479027855484,0,Bear
2022-11-25,-0.0135359404801477,-0.0085359404801477,0.005,-0.09532150885008983,0,Bear
2022-11-28,0.007073156336564,-0.0042268436634359,-0.0113,-0.08856457431699338,0,Bear
2022-11-29,-0.0386888817855775,-0.0077888817855775,0.0308999999999999,-0.09057496040007784,0,Bear
2022-11-30,-0.0009961647192921,0.0002038352807079,0.0012,-0.08129035257395445,0,Bear
2022-12-01,-0.0076663961126207,0.0031336038873793,0.0108,-0.0994399863704476,0,Bear
2022-12-02,0.0011267929569455,-0.0049732070430544,-0.0060999999999999,-0.07515162319371438,0,Bear
2022-12-05,-0.0250328939814473,-0.0054328939814473,0.0196,-0.09219546594121442,0,Bear
2022-12-06,-0.0014417890269592,0.0039582109730408,0.0054,-0.09681540015514312,0,Bear
2022-12-07,0.0041072786744465,0.0016072786744465,-0.0025,-0.09995013836346256,0,Bear
2022-12-08,0.0030954032623159,0.003295403262316,0.0002,-0.09345156954735201,0,Bear
2022-12-09,-0.0099107670423845,-1.0767042384552316e-05,0.0098999999999999,-0.07627730355957119,0,Bear
2022-12-12,0.0090002547611975,-0.0021997452388025,-0.0112,-0.0576186748214742,0,Bear
2022-12-13,-0.0078199758189453,-0.0098199758189453,-0.002,-0.050615896727677856,0,Bear
2022-12-14,-0.0034400422017545,-0.0011400422017545,0.0023,-0.057319169536550474,0,Bear
2022-12-15,0.0040668088642982,0.0033668088642983,-0.0007,-0.05051259229752103,0,Bear
2022-12-16,-0.0050272358096344,-0.0044272358096344,0.0006,-0.059741573930700786,0,Bear
2022-12-19,0.0190683946449811,0.0036683946449811,-0.0154,-0.056476462778766834,0,Bear
2022-12-20,0.0175583413946731,0.0010583413946731,-0.0165,-0.037363560805872886,0,Bear
2022-12-21,-0.0005959322964511,-0.0001959322964511,0.0004,-0.04286761477171164,0,Bear
2022-12-22,-0.0048721561276717,-0.0034721561276717,0.0014,-0.05415087127628693,0,Bear
2022-12-23,-0.0034878849002896,-0.0054878849002896,-0.002,-0.04451651660937472,0,Bear
2022-12-26,0.0046609590909336,0.0086609590909336,0.004,-0.046805143421020046,0,Bear
2022-12-27,-0.0070623538793574,0.0044376461206426,0.0115,-0.015445635390305301,0,Bear
2022-12-28,0.0053991165827354,0.0010991165827354,-0.0043,-0.009142854663694133,0,Bear
2022-12-29,0.008157837987183,0.004357837987183,-0.0038,0.006657835110229993,1,Bull
2022-12-30,-0.0082980943533339,-0.0043980943533339,0.0039,-0.0028191229760683445,0,Bear
2023-01-03,-0.0022913947206376,0.0019086052793623,0.0042,0.020440521413720214,1,Bull
2023-01-04,-0.0102448398047125,-0.0089448398047125,0.0013,0.011444561411620535,1,Bull
2023-01-05,-0.0114169338612806,0.0079830661387194,0.0194,-0.004193090732667826,0,Bear
2023-01-06,0.007409459934537,0.0105094599345371,0.0031,8.961999175327584e-05,1,Bull
2023-01-09,-0.0079895883622276,0.0001104116377724,0.0081,0.002030203519193474,1,Bull
2023-01-10,0.0027632878750408,0.0038632878750409,0.0011,-0.004163679157037414,0,Bear
2023-01-11,0.0048312277530971,0.0029312277530971,-0.0019,0.008534145544499827,1,Bull
2023-01-12,-0.0011915620781092,0.0008084379218908,0.002,0.010809642329745905,1,Bull
2023-01-13,-0.0166365850560546,-0.0025365850560546,0.0141,-0.010032785702821179,0,Bear
2023-01-16,-0.0168254091075612,-0.0012254091075612,0.0156,-0.021771604265406586,0,Bear
2023-01-17,0.004574912221278,0.0043749122212781,-0.0002,-0.03568424853388663,0,Bear
2023-01-18,0.0004776630727419,-0.0012223369272581,-0.0017,-0.051871199671241874,0,Bear
2023-01-19,-0.0063485950276288,-0.0001485950276289,0.0062,-0.05732871719620092,0,Bear
2023-01-20,-0.0059076332633476,0.0001923667366524,0.0060999999999999,-0.05830961082289632,0,Bear
2023-01-30,-0.0076708205509328,-0.0029708205509329,0.0046999999999999,-0.06226242809533156,0,Bear
2023-01-31,0.0096244239648378,-0.0009755760351622,-0.0106,-0.05762959404622081,0,Bear
2023-02-01,-0.0129834665070664,-0.0035834665070665,0.0093999999999999,-0.0632491627396553,0,Bear
2023-02-02,0.0022060124064819,-0.001293987593518,-0.0034999999999999,-0.06622424294534623,0,Bear
2023-02-03,0.0049094549466509,-0.0045905450533491,-0.0095,-0.06923295965475817,0,Bear
2023-02-06,0.0098763318479259,-0.003323668152074,-0.0132,-0.05217525633786402,0,Bear
2023-02-07,-0.0043494984944036,-0.0025494984944036,0.0018,-0.05413045815879414,0,Bear
2023-02-08,0.0045204130042504,0.0001204130042504,-0.0044,-0.04001989478792167,0,Bear
2023-02-09,-0.0131575021366326,0.0002424978633674,0.0134,-0.041710102695920126,0,Bear
2023-02-10,0.001441589268154,-0.0044584107318459,-0.0059,-0.04738699019346648,0,Bear
2023-02-13,-0.0092370259473003,-0.0001370259473003,0.0091,-0.048584886161614826,0,Bear
2023-02-14,-0.0007024784543484,-0.0003024784543484,0.0004,-0.05187318212007619,0,Bear
2023-02-15,0.001703595225674,-0.0034964047743259,-0.0052,-0.054824316792068895,0,Bear
2023-02-16,0.0060065502200254,-0.0012934497799746,-0.0073,-0.04801271964201681,0,Bear
2023-02-17,0.0133964200245347,-0.0010035799754653,-0.0144,-0.018937976375024923,0,Bear
2023-02-20,-0.0263291837814216,-0.0018291837814216,0.0245,-0.02842133009468306,0,Bear
2023-02-21,-0.0006137223914499,0.00198627760855,0.0026,-0.03343953894534191,0,Bear
2023-02-22,0.0077007861959277,-0.0012992138040723,-0.009,-0.026461286982415788,0,Bear
2023-02-23,0.0048310374448837,0.0040310374448837,-0.0008,-0.015507943631986043,0,Bear
2023-02-24,0.0098655912651163,-0.0005344087348837,-0.0104,0.0001129531490231539,1,Bull
2023-02-27,0.0092437877498345,0.0050437877498345,-0.0042,0.017160238676221518,1,Bull
2023-02-28,-0.0104895135559185,-0.0041895135559185,0.0063,-0.003103828836118594,0,Bear
2023-03-01,-0.0190136663496386,-0.0049136663496386,0.0141,-0.009194388548567911,0,Bear
2023-03-02,-0.0034595301355832,-0.0056595301355832,-0.0022,-0.014795483805535858,0,Bear
2023-03-03,-0.0036984611617801,-0.0005984611617801,0.0031,-0.023234610120154153,0,Bear
2023-03-06,0.0091623353453414,0.0039623353453414,-0.0052,-0.023925196729847387,0,Bear
2023-03-07,0.0145084303922257,-9.156960777422646e-05,-0.0146,-0.005438037631082082,0,Bear
2023-03-08,-0.0022654053466066,-0.0058654053466066,-0.0036,-0.012156583842724777,0,Bear
2023-03-09,0.0008235241956929,-0.002676475804307,-0.0034999999999999,0.0018386229338500648,1,Bull
2023-03-10,0.0120871207270139,-0.0010128792729861,-0.0131,0.01248837494278865,1,Bull
2023-03-13,-0.0105016361155631,-1.636115563161426e-06,0.0105,0.011196034466071536,1,Bull
2023-03-14,0.0077228241417042,0.0017228241417042,-0.006,0.01972165610588883,1,Bull
2023-03-15,-0.0036097028892888,-0.0030097028892889,0.0006,0.014312785478890921,1,Bull
2023-03-16,0.0074396546196145,-0.0045603453803855,-0.012,0.015757722507492966,1,Bull
2023-03-17,-0.0096481797319067,-0.0046481797319067,0.005,-0.007340573186242372,0,Bear
2023-03-20,0.0054592943775909,0.0004592943775909,-0.005,0.025067846561981133,1,Bull
2023-03-21,-0.0105119519233383,0.0004880480766617,0.011,0.01491525886054812,1,Bull
2023-03-22,-0.0077476391234963,-0.0034476391234964,0.0043,-0.0006437669900108967,0,Bear
2023-03-23,-0.0107612111183184,-0.0008612111183185,0.0098999999999999,-0.016151061458044347,0,Bear
2023-03-24,0.0010941097352153,-0.0019058902647847,-0.003,-0.024696567778169087,0,Bear
2023-03-27,0.0033499437980023,-0.0002500562019977,-0.0036,-0.0303922047540659,0,Bear
2023-03-28,0.0046581013535083,0.0014581013535083,-0.0032,-0.01554926403057344,0,Bear
2023-03-29,0.003198138804612,0.0048981388046121,0.0017,0.006740983224904573,1,Bull
2023-03-30,-0.0024432798678964,0.0056567201321036,0.0081,0.007767635753961111,1,Bull
2023-03-31,-0.0049757303290338,-0.0018757303290338,0.0031,0.006475666928533741,1,Bull
2023-04-03,-0.0141750612386432,-0.0043750612386432,0.0098,-0.016799599070374316,0,Bear
2023-04-04,-0.0072813215782102,-0.0041813215782102,0.0031,-0.03791691286658083,0,Bear
2023-04-06,0.0070428381972337,0.0054428381972337,-0.0016,-0.028941275725765103,0,Bear
2023-04-07,-0.007121832459411,-0.000621832459411,0.0065,-0.036650335026313874,0,Bear
