trade_date,momentum_return,holdings_count,rebalance_date
2022-02-09,0.0173162848188307,823,2022-01-28
2022-02-10,-0.0092235471938946,823,2022-01-28
2022-02-11,-0.0245145518174599,823,2022-01-28
2022-02-14,-0.0001377533751981,823,2022-01-28
2022-02-15,0.0135602252675511,823,2022-01-28
2022-02-16,0.0136232802024174,823,2022-01-28
2022-02-17,0.007082064849027,823,2022-01-28
2022-02-18,0.0018141175450855,823,2022-01-28
2022-02-21,0.0109729958661551,823,2022-01-28
2022-02-22,-0.0072460807250754,823,2022-01-28
2022-02-23,0.0276391803462369,823,2022-01-28
2022-02-24,-0.0202551182083286,823,2022-01-28
2022-02-25,0.015387789012538,823,2022-01-28
2022-02-28,0.0072361223803785,823,2022-01-28
2022-03-01,0.0049383504077795,830,2022-02-28
2022-03-02,0.0041276506847488,830,2022-02-28
2022-03-03,-0.0070039419100528,830,2022-02-28
2022-03-04,-0.0134261682749766,830,2022-02-28
2022-03-07,-0.0155868020250558,830,2022-02-28
2022-03-08,-0.0335137884268701,830,2022-02-28
2022-03-09,-0.0087761557870666,830,2022-02-28
2022-03-10,0.022643468277633,830,2022-02-28
2022-03-11,0.0026222774871195,830,2022-02-28
2022-03-14,-0.0289463279153753,830,2022-02-28
2022-03-15,-0.0473680255633535,830,2022-02-28
2022-03-16,0.0341001697078555,830,2022-02-28
2022-03-17,0.0223514093834875,830,2022-02-28
2022-03-18,0.0120614665447442,830,2022-02-28
2022-03-21,0.0144151918750193,830,2022-02-28
2022-03-22,-0.0015469888251799,830,2022-02-28
2022-03-23,0.0061068067397095,830,2022-02-28
2022-03-24,-0.0109687249412418,830,2022-02-28
2022-03-25,-0.0097499725655056,830,2022-02-28
2022-03-28,-0.007912195849505,830,2022-02-28
2022-03-29,-0.0080281714361905,830,2022-02-28
2022-03-30,0.0179613357305195,830,2022-02-28
2022-03-31,-0.0102249899176777,830,2022-02-28
2022-04-01,-0.0031100280711665,835,2022-03-31
2022-04-06,-0.0004070483249778,835,2022-03-31
2022-04-07,-0.0226267594591376,835,2022-03-31
2022-04-08,-0.0065015592210102,835,2022-03-31
2022-04-11,-0.0382776267008594,835,2022-03-31
2022-04-12,0.0126349003785065,835,2022-03-31
2022-04-13,-0.0213890592905578,835,2022-03-31
2022-04-14,0.0068873924033376,835,2022-03-31
2022-04-15,-0.0176277101979899,835,2022-03-31
2022-04-18,0.0102796720682441,835,2022-03-31
2022-04-19,0.0055597076725315,835,2022-03-31
2022-04-20,-0.0193609967417909,835,2022-03-31
2022-04-21,-0.0435606365334115,835,2022-03-31
2022-04-22,-0.0134472591065856,835,2022-03-31
2022-04-25,-0.0800870756349872,835,2022-03-31
2022-04-26,-0.0380418719201625,835,2022-03-31
2022-04-27,0.0486407899139974,835,2022-03-31
