trade_date,active_return,momentum_return,market_return,state,state_name
2021-11-16,-0.012489569874828,-0.012289569874828,0.0002,0,Bear
2021-11-17,0.0224831043623475,0.0229831043623475,0.0005,1,Bull
2021-11-18,0.0166871982858324,0.0067871982858324,-0.0098999999999999,1,Bull
2021-11-19,0.0012797248868121,0.0120797248868122,0.0108,1,Bull
2021-11-22,0.0142787336644693,0.0188787336644693,0.0046,1,Bull
2021-11-23,0.0008001353314021,0.0010001353314021,0.0002,1,Bull
2021-11-24,-0.0013012548047744,-0.0006012548047744,0.0007,1,Bull
2021-11-25,0.0021283748818069,-0.001971625118193,-0.0040999999999999,1,Bull
2021-11-26,0.0125367899220472,0.0051367899220472,-0.0074,1,Bull
2021-11-29,0.0075720182008897,0.0057720182008897,-0.0018,1,Bull
2021-11-30,0.0078358977110873,0.0038358977110873,-0.004,1,Bull
2021-12-01,0.0016614364755912,0.0040614364755912,0.0024,1,Bull
2021-12-02,-0.0121086731839576,-0.0096086731839576,0.0025,1,Bull
2021-12-03,-0.0007484450992841,0.0084515549007158,0.0092,1,Bull
2021-12-06,-0.0096908179677792,-0.0113908179677792,-0.0017,1,Bull
2021-12-07,-0.019936196783914,-0.013936196783914,0.006,0,Bear
2021-12-08,0.0009918393242679,0.0159918393242679,0.015,0,Bear
2021-12-09,-0.0203207164555031,-0.0037207164555031,0.0166,0,Bear
2021-12-10,0.0123492108970487,0.0077492108970487,-0.0046,0,Bear
2021-12-13,-0.0007116932323428,0.0049883067676571,0.0056999999999999,0,Bear
2021-12-14,0.0022165907525975,-0.0044834092474025,-0.0067,0,Bear
2021-12-15,0.0065354467950254,-0.0021645532049745,-0.0087,0,Bear
2021-12-16,0.0018562891433777,0.0076562891433777,0.0058,0,Bear
2021-12-17,0.0019295099639283,-0.0139704900360717,-0.0159,0,Bear
2021-12-20,-0.0088458907909865,-0.0238458907909865,-0.015,0,Bear
2021-12-21,0.0027580654780083,0.0095580654780084,0.0068,0,Bear
2021-12-22,0.006287585865565,0.006487585865565,0.0002,0,Bear
2021-12-23,-0.0027560390643955,0.0042439609356044,0.0069999999999999,0,Bear
2021-12-24,-0.0194163682680289,-0.024916368268029,-0.0055,0,Bear
2021-12-27,-0.0025913014995775,-0.0029913014995776,-0.0004,0,Bear
2021-12-28,0.0020348652767241,0.0094348652767241,0.0074,0,Bear
2021-12-29,0.0125181375900386,-0.0020818624099614,-0.0146,0,Bear
2021-12-30,-0.0036971982340819,0.0041028017659181,0.0078,0,Bear
2021-12-31,0.0035068749539767,0.0073068749539767,0.0038,0,Bear
2022-01-04,-0.0063842385040266,-0.0109842385040267,-0.0046,0,Bear
2022-01-05,-0.0178037444069939,-0.027903744406994,-0.0101,0,Bear
2022-01-06,0.0200341603051664,0.0098341603051664,-0.0102,0,Bear
2022-01-07,-0.0237440532259143,-0.0228440532259143,0.0009,0,Bear
2022-01-10,-0.0035989539662833,0.0009010460337167,0.0045,0,Bear
2022-01-11,-0.0003097153081006,-0.0099097153081006,-0.0096,0,Bear
2022-01-12,0.010102488608875,0.020102488608875,0.01,0,Bear
2022-01-13,-0.003656355770985,-0.020056355770985,-0.0163999999999999,0,Bear
2022-01-14,0.0123653050297641,0.0041653050297641,-0.0081999999999999,0,Bear
2022-01-17,0.0031808868551794,0.0117808868551795,0.0086,0,Bear
2022-01-18,-0.0142836711341277,-0.0045836711341277,0.0097,0,Bear
2022-01-19,-0.0090869532799164,-0.0158869532799164,-0.0068,0,Bear
2022-01-20,-0.035731895623111,-0.026731895623111,0.009,0,Bear
2022-01-21,-0.0002325348179638,-0.0094325348179638,-0.0092,0,Bear
2022-01-24,0.0102539426603964,0.0118539426603964,0.0016,0,Bear
2022-01-25,-0.013269671424079,-0.0358696714240791,-0.0226,0,Bear
2022-01-26,0.0004223196692752,0.0076223196692752,0.0072,0,Bear
2022-01-27,-0.0077016501359561,-0.0273016501359561,-0.0196,0,Bear
2022-01-28,0.0154270574855434,0.0033270574855434,-0.0121,0,Bear
2022-02-07,-0.0028646942080886,0.0125353057919114,0.0154,0,Bear
2022-02-08,0.0086607594368866,0.0031607594368866,-0.0055,0,Bear
2022-02-09,0.0079162848188307,0.0173162848188307,0.0093999999999999,0,Bear
2022-02-10,-0.0066235471938946,-0.0092235471938946,-0.0026,0,Bear
2022-02-11,-0.0162145518174599,-0.0245145518174599,-0.0083,0,Bear
2022-02-14,0.0106622466248019,-0.0001377533751981,-0.0108,0,Bear
2022-02-15,0.002960225267551,0.0135602252675511,0.0106,0,Bear
2022-02-16,0.0097232802024174,0.0136232802024174,0.0039,0,Bear
2022-02-17,0.0046820648490269,0.007082064849027,0.0024,0,Bear
2022-02-18,-0.0029858824549144,0.0018141175450855,0.0048,0,Bear
2022-02-21,0.0145729958661551,0.0109729958661551,-0.0036,1,Bull
2022-02-22,0.0057539192749246,-0.0072460807250754,-0.013,1,Bull
2022-02-23,0.0169391803462369,0.0276391803462369,0.0107,1,Bull
2022-02-24,4.488179167139866e-05,-0.0202551182083286,-0.0203,1,Bull
2022-02-25,0.005687789012538,0.015387789012538,0.0097,1,Bull
2022-02-28,0.0054361223803784,0.0072361223803785,0.0018,1,Bull
2022-03-01,-0.0033616495922205,0.0049383504077795,0.0083,1,Bull
2022-03-02,0.0130276506847488,0.0041276506847488,-0.0089,1,Bull
2022-03-03,-0.0011039419100528,-0.0070039419100528,-0.0059,1,Bull
2022-03-04,-0.0013261682749765,-0.0134261682749766,-0.0121,1,Bull
2022-03-07,0.0163131979749441,-0.0155868020250558,-0.0319,1,Bull
2022-03-08,-0.0134137884268701,-0.0335137884268701,-0.0200999999999999,1,Bull
2022-03-09,0.0004238442129333,-0.0087761557870666,-0.0092,1,Bull
2022-03-10,0.0069434682776329,0.022643468277633,0.0157,1,Bull
2022-03-11,-0.0005777225128805,0.0026222774871195,0.0032,1,Bull
2022-03-14,0.0016536720846247,-0.0289463279153753,-0.0306,1,Bull
2022-03-15,-0.0016680255633534,-0.0473680255633535,-0.0457,1,Bull
2022-03-16,-0.0090998302921445,0.0341001697078555,0.0432,1,Bull
2022-03-17,0.0027514093834875,0.0223514093834875,0.0196,1,Bull
2022-03-18,0.0053614665447441,0.0120614665447442,0.0067,1,Bull
2022-03-21,0.0161151918750193,0.0144151918750193,-0.0017,1,Bull
