"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-8-4","4,070.70","4,037.94","4,070.70","4,037.94","162.28K","0.39%"
"2025-8-1","4,054.93","4,069.93","4,085.35","4,040.46","196.22K","-0.51%"
"2025-7-31","4,075.59","4,141.56","4,141.82","4,063.67","267.09K","-1.82%"
"2025-7-30","4,151.24","4,148.94","4,185.21","4,127.43","249.85K","-0.02%"
"2025-7-29","4,152.02","4,132.68","4,153.33","4,117.58","230.81K","0.39%"
"2025-7-28","4,135.82","4,128.20","4,146.12","4,112.97","222.76K","0.21%"
"2025-7-25","4,127.16","4,145.32","4,150.50","4,117.80","273.60K","-0.53%"
"2025-7-24","4,149.04","4,116.83","4,152.43","4,111.88","319.63K","0.71%"
"2025-7-23","4,119.77","4,129.15","4,155.68","4,113.91","300.51K","0.02%"
"2025-7-22","4,118.96","4,087.34","4,119.20","4,068.34","257.60K","0.82%"
"2025-7-21","4,085.61","4,069.77","4,086.12","4,063.44","223.27K","0.67%"
"2025-7-18","4,058.55","4,039.87","4,064.64","4,039.32","186.21K","0.60%"
"2025-7-17","4,034.49","4,005.07","4,034.59","4,005.07","161.25K","0.68%"
"2025-7-16","4,007.20","4,019.39","4,027.86","3,993.92","151.03K","-0.30%"
"2025-7-15","4,019.06","4,023.99","4,042.66","3,994.26","191.04K","0.03%"
"2025-7-14","4,017.67","4,021.21","4,034.92","4,017.67","207.92K","0.07%"
"2025-7-11","4,014.81","4,011.47","4,065.94","4,010.11","262.05K","0.12%"
"2025-7-10","4,010.02","3,993.42","4,032.98","3,992.52","209.78K","0.47%"
"2025-7-9","3,991.40","3,997.50","4,016.74","3,987.43","173.29K","-0.18%"
"2025-7-8","3,998.45","3,965.43","4,002.27","3,965.43","156.40K","0.84%"
"2025-7-7","3,965.17","3,977.29","3,979.75","3,956.57","131.14K","-0.43%"
"2025-7-4","3,982.20","3,967.46","4,013.85","3,958.38","157.20K","0.36%"
"2025-7-3","3,968.07","3,949.40","3,971.62","3,945.14","141.00K","0.62%"
"2025-7-2","3,943.68","3,943.32","3,952.14","3,929.70","147.06K","0.02%"
"2025-7-1","3,942.76","3,935.91","3,946.25","3,924.72","128.96K","0.17%"
"2025-6-30","3,936.08","3,920.31","3,940.36","3,911.60","145.17K","0.37%"
"2025-6-27","3,921.76","3,949.79","3,969.26","3,918.20","194.56K","-0.61%"
"2025-6-26","3,946.02","3,953.16","3,964.48","3,945.26","165.32K","-0.35%"
"2025-6-25","3,960.07","3,907.07","3,963.04","3,902.18","187.21K","1.44%"
"2025-6-24","3,904.03","3,862.39","3,914.16","3,862.39","163.66K","1.20%"
"2025-6-23","3,857.90","3,831.17","3,867.59","3,827.08","133.80K","0.29%"
"2025-6-20","3,846.64","3,839.78","3,856.48","3,839.78","118.15K","0.09%"
"2025-6-19","3,843.09","3,870.05","3,872.94","3,834.95","130.28K","-0.82%"
"2025-6-18","3,874.97","3,871.65","3,881.35","3,854.66","127.53K","0.12%"
"2025-6-17","3,870.38","3,875.18","3,880.42","3,860.41","122.34K","-0.09%"
"2025-6-16","3,873.80","3,853.62","3,876.17","3,853.62","137.34K","0.25%"
"2025-6-13","3,864.18","3,881.49","3,889.16","3,853.82","172.54K","-0.72%"
"2025-6-12","3,892.20","3,885.52","3,900.04","3,870.38","134.00K","-0.06%"
"2025-6-11","3,894.63","3,870.67","3,911.61","3,870.67","142.42K","0.75%"
"2025-6-10","3,865.47","3,887.55","3,897.46","3,850.47","145.56K","-0.51%"
"2025-6-9","3,885.25","3,877.80","3,894.65","3,871.99","136.31K","0.29%"
"2025-6-6","3,873.98","3,878.10","3,889.46","3,869.39","110.99K","-0.09%"
"2025-6-5","3,877.56","3,872.64","3,883.13","3,861.27","122.88K","0.23%"
"2025-6-4","3,868.74","3,855.49","3,875.86","3,855.49","116.80K","0.43%"
"2025-6-3","3,852.01","3,833.46","3,863.30","3,832.72","131.40K","0.31%"
"2025-5-30","3,840.23","3,850.49","3,858.61","3,829.25","111.67K","-0.48%"
"2025-5-29","3,858.70","3,838.01","3,869.79","3,831.46","108.47K","0.59%"
"2025-5-28","3,836.24","3,843.07","3,849.74","3,833.96","89.03K","-0.08%"
"2025-5-27","3,839.40","3,857.63","3,865.43","3,834.85","98.57K","-0.54%"
"2025-5-26","3,860.11","3,875.79","3,884.54","3,849.04","109.60K","-0.57%"
"2025-5-23","3,882.27","3,910.37","3,931.55","3,882.27","120.28K","-0.81%"
"2025-5-22","3,913.86","3,912.60","3,923.02","3,903.09","107.60K","-0.06%"
"2025-5-21","3,916.38","3,899.44","3,928.63","3,899.44","109.79K","0.47%"
"2025-5-20","3,898.17","3,883.10","3,911.47","3,881.74","104.89K","0.54%"
"2025-5-19","3,877.15","3,882.57","3,885.59","3,866.57","98.64K","-0.31%"
"2025-5-16","3,889.09","3,898.67","3,903.85","3,874.86","118.41K","-0.46%"
"2025-5-15","3,907.20","3,934.03","3,936.47","3,904.91","138.08K","-0.91%"
"2025-5-14","3,943.21","3,894.84","3,960.52","3,890.65","172.03K","1.21%"
"2025-5-13","3,896.26","3,915.59","3,915.59","3,890.69","147.32K","0.15%"
"2025-5-12","3,890.61","3,866.53","3,890.73","3,859.03","153.33K","1.16%"
"2025-5-9","3,846.16","3,848.62","3,853.66","3,836.53","119.39K","-0.17%"
"2025-5-8","3,852.90","3,820.55","3,867.33","3,816.26","124.96K","0.56%"
"2025-5-7","3,831.63","3,861.58","3,863.68","3,814.99","161.17K","0.61%"
"2025-5-6","3,808.54","3,794.38","3,809.09","3,782.78","158.52K","1.01%"
"2025-4-30","3,770.57","3,775.83","3,787.56","3,768.76","143.68K","-0.12%"
"2025-4-29","3,775.08","3,776.00","3,785.32","3,768.03","111.52K","-0.17%"
"2025-4-28","3,781.62","3,786.39","3,792.01","3,772.80","125.15K","-0.14%"
"2025-4-25","3,786.99","3,792.08","3,801.58","3,780.78","124.59K","0.07%"
"2025-4-24","3,784.36","3,787.46","3,807.26","3,775.21","117.17K","-0.07%"
"2025-4-23","3,786.88","3,803.43","3,807.95","3,780.52","131.99K","0.08%"
"2025-4-22","3,783.95","3,780.11","3,799.23","3,778.08","125.69K","-0.02%"
"2025-4-21","3,784.88","3,768.14","3,790.18","3,763.14","121.36K","0.33%"
"2025-4-18","3,772.52","3,760.04","3,782.04","3,754.41","102.95K","0.01%"
