gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
8.0,2.8,3.49,2,-1.3202729894998557,-0.013526219281316365,0.01024501704487672,0.0022771964949016657,-0.012371439544199392,5.0,-0.013526219281316365,0.01024501704487672,-0.08341189559922343,36.666666666666664,46.666666666666664,27.0,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.0,3.49,2,-1.3358260860067397,-0.012066657666340186,0.009033105276759287,0.001983089316045944,-0.010940250310940813,5.0,-0.012066657666340186,0.009033105276759287,-0.08437428679793182,36.666666666666664,46.0,27.666666666666668,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,2.0,3.49,2,-1.3941143598481724,-0.012383986039283257,0.008883048906139916,0.001983089316045944,-0.011218865060920957,5.0,-0.012383986039283257,0.008883048906139916,-0.08808718625363984,36.666666666666664,46.333333333333336,27.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,3.6,3.49,2,-1.3948064853245818,-0.014220030544187634,0.010194984532838996,0.0022771964949016657,-0.0128824051184101,5.0,-0.014220030544187634,0.010194984532838996,-0.08817148665336547,36.666666666666664,46.333333333333336,27.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
6.0,1.6,3.49,2,-1.3985024163669162,-0.012527005719864648,0.008957443028527466,0.0020032909843294765,-0.011346476405317496,5.0,-0.012527005719864648,0.008957443028527466,-0.08836936318451757,36.666666666666664,46.333333333333336,27.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,2.8,3.49,2,-1.4136328340684083,-0.014414773827151062,0.010196971575473114,0.0022771964949016657,-0.01363274565443906,5.0,-0.014414773827151062,0.010196971575473114,-0.08937465545708304,36.666666666666664,46.333333333333336,27.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,2.4,3.49,2,-1.4311328125686675,-0.013743766476334462,0.00960341790477606,0.0021153712007309774,-0.012433522983667178,5.0,-0.013743766476334462,0.00960341790477606,-0.09047305236364403,36.666666666666664,46.333333333333336,27.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,3.2,3.49,2,-1.4834156964594651,-0.01512754302184327,0.010197777371473725,0.0022771964949016657,-0.013679404237072257,5.0,-0.01512754302184327,0.010197777371473725,-0.09383623493151062,36.666666666666664,46.666666666666664,27.0,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.4,3.49,2,-1.4901616297525835,-0.01408197844563941,0.009449967147508346,0.0021153712007309774,-0.01273052982002676,5.0,-0.01408197844563941,0.009449967147508346,-0.09423815277455946,36.666666666666664,46.666666666666664,27.0,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,2.0,3.49,2,-1.6404660473660826,-0.014703547866006472,0.008963030895771574,0.001983089316045944,-0.013255778264968154,5.0,-0.014703547866006472,0.008963030895771574,-0.10382142155614835,36.666666666666664,46.333333333333336,27.333333333333332,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
8.0,1.6,3.49,2,-1.6789089548842566,-0.015165286078793194,0.009032822199604435,0.0020032909843294765,-0.01366335353923298,5.0,-0.015165286078793194,0.009032822199604435,-0.10628361827535812,36.666666666666664,46.0,27.666666666666668,5.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
