trade_date,momentum,size,liquidity,value
2020-04-28,,0.011352961651838921,0.03649597784912488,
2020-04-29,,0.06407228762260594,0.06983121734416774,
2020-04-30,,0.08085548867757211,0.038340683018349794,
2020-05-06,,0.11285641287832832,-0.0424585596207521,
2020-05-07,,0.10416391867770321,-0.04947318075531935,
2020-05-08,,0.08575352761930594,-0.07588580263716384,
2020-05-11,,0.08315037828103214,-0.08729996356577369,
2020-05-12,,0.08256565336913022,-0.12161263540497932,
2020-05-13,,0.09716227231658257,-0.12165456271284585,
2020-05-14,,0.09578634544534498,-0.1252079797345155,
2020-05-15,,0.11719266565349848,-0.11766703023761581,
2020-05-18,,0.10885437727538003,-0.021564810098285533,
2020-05-19,,0.11496894980966149,-0.06323643697752966,
2020-05-20,,0.09366329161028045,-0.07347243482293121,
2020-05-21,,0.03444459583931927,-0.020307656889035484,
2020-05-22,,-0.014589932703533044,0.0603722068233585,
2020-05-25,,-0.04948140944377007,0.07668548427152616,
2020-05-26,,-0.09052400149116364,0.018476982261075085,
2020-05-27,,-0.1115533355089954,0.04661896935652327,
2020-05-28,,-0.08515429757502996,0.11782268971319623,
2020-05-29,,-0.12827291236016464,0.10354309737338566,
2020-06-01,,-0.15034737530099024,0.004753371961550203,
2020-06-02,,-0.19403853819288,-0.03118363438496775,
2020-06-03,,-0.2660183650160214,-0.04791035753411219,
2020-06-04,,-0.30659421306754703,0.026270657286346415,
2020-06-05,,-0.3001470715931513,0.056744507692501917,
2020-06-08,,-0.28104120509063013,0.11872873349909875,
2020-06-09,,-0.27034608713969865,0.13432956875144988,
2020-06-10,,-0.23492455000591594,0.182194953675101,
2020-06-11,,-0.20612906364475633,0.1412576474353426,
2020-06-12,,-0.20782305728480127,0.061823536258828554,
2020-06-15,,-0.17455382806640163,-0.04146062311949528,
2020-06-16,,-0.14446980491513667,-0.08872333118622114,
2020-06-17,,-0.1165775349578379,-0.10261138508671996,
2020-06-18,,-0.11656260625076202,-0.06664611331098888,
2020-06-19,,-0.11731565480670625,-0.05688571794985819,
2020-06-22,,-0.09572432388290597,-0.09772871640704382,
2020-06-23,,-0.012100636722466177,-0.1725692969764972,
2020-06-24,,0.006405100308390178,-0.15847678457603204,
