gamma,kappa,window,state_number,Sharpe,Return,Volatility,Turnover,MDD,StateSwitch,AnnualReturn,AnnualVolatility,IR,AverageHoldingTime,BullDuration,BearDuration,StateSwitchTimes,anchor_date,train_start,train_end,validation_start,validation_end
10.0,3.2,3.49,2,0.9719600506945988,0.014592335103624565,0.015013307484393355,0.004043445909924894,-0.012286192500700954,8.0,0.014592335103624565,0.015013307484393355,0.06125935665465646,24.555555555555557,24.75,24.6,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.8,3.49,2,0.9719600506945988,0.014592335103624565,0.015013307484393355,0.004043445909924894,-0.012286192500700954,8.0,0.014592335103624565,0.015013307484393355,0.06125935665465646,24.555555555555557,24.75,24.6,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,1.6,3.49,2,0.9683187107069643,0.014693370452825594,0.015174105684788474,0.0031981026625208173,-0.01257932079727253,6.0,0.014693370452825594,0.015174105684788474,0.06103369028496304,31.571428571428573,32.333333333333336,31.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,2.0,3.49,2,0.937876360410955,0.013562018711755774,0.014460348169787777,0.0030283972405395648,-0.013101580878666641,6.0,0.013562018711755774,0.014460348169787777,0.059140134908394815,31.571428571428573,32.333333333333336,31.25,6.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,2.4,3.49,2,0.8751757616326525,0.01288098536748139,0.01471816968908249,0.003975003473730372,-0.013804229170739313,8.0,0.01288098536748139,0.01471816968908249,0.055243256207714864,24.555555555555557,25.5,24.0,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
10.0,2.4,3.49,2,0.8690972073528636,0.012807444711358196,0.014736492768591103,0.003975003473730372,-0.012904644586248293,8.0,0.012807444711358196,0.014736492768591103,0.05486532964901039,24.555555555555557,25.5,24.0,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,3.2,3.49,2,0.8447878488469945,0.012671702905275417,0.014999864075424786,0.004043445909924894,-0.013616890719793773,8.0,0.012671702905275417,0.014999864075424786,0.0533554844056071,24.555555555555557,25.0,24.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,2.8,3.49,2,0.7687403965370195,0.011341516273404073,0.014753376204105738,0.003975003473730371,-0.014055961070848055,8.0,0.011341516273404073,0.014753376204105738,0.0486187500234033,24.555555555555557,25.25,24.2,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
20.0,3.6,3.49,2,0.7090063964388502,0.011066482044968629,0.015608437526872273,0.004056849339640343,-0.014791966273288493,8.0,0.011066482044968629,0.015608437526872273,0.044909778318725495,24.555555555555557,28.0,22.0,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,2.8,3.49,2,0.6778292089720194,0.010165620669728037,0.014997318697943086,0.004043445909924894,-0.014018703302430602,8.0,0.010165620669728037,0.014997318697943086,0.042956310462890314,24.555555555555557,25.0,24.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,3.2,3.49,2,0.6778292089720194,0.010165620669728037,0.014997318697943086,0.004043445909924894,-0.014018703302430602,8.0,0.010165620669728037,0.014997318697943086,0.042956310462890314,24.555555555555557,25.0,24.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
15.0,3.6,3.49,2,0.6778292089720194,0.010165620669728037,0.014997318697943086,0.004043445909924894,-0.014018703302430602,8.0,0.010165620669728037,0.014997318697943086,0.042956310462890314,24.555555555555557,25.0,24.4,8.0,2024-06-02,2020-01-01,2023-06-30,2023-07-01,2024-06-01
